idx,t_s,x_m,y_m,vel_mps,heading_x,heading_y,spreading,dose_alvo_kg_ha
68,23.6284,68.0000,-90.1866,2.8847,1.000000,0.000000,1,60.000000
69,23.9749,69.0000,-90.1866,2.8860,1.000000,0.000000,1,60.000000
70,24.3212,70.0000,-90.1866,2.8876,1.000000,0.000000,1,60.000000
71,24.6673,71.0000,-90.1866,2.8893,1.000000,0.000000,1,60.000000
72,25.0132,72.0000,-90.1866,2.8911,1.000000,0.000000,1,60.000000
73,25.3588,73.0000,-90.1866,2.8932,1.000000,0.000000,1,60.000000
74,25.7042,74.0000,-90.1866,2.8954,1.000000,0.000000,1,60.000000
75,26.0493,75.0000,-90.1866,2.8978,1.000000,0.000000,1,60.000000
76,26.3941,76.0000,-90.1866,2.9003,1.000000,0.000000,1,60.000000
77,26.7386,77.0000,-90.1866,2.9030,1.000000,0.000000,1,60.000000
78,27.0827,78.0000,-90.1866,2.9059,1.000000,0.000000,1,60.000000
79,27.4265,79.0000,-90.1866,2.9089,1.000000,0.000000,1,60.000000
80,27.7699,80.0000,-90.1866,2.9121,1.000000,0.000000,1,60.000000
81,28.1129,81.0000,-90.1866,2.9154,1.000000,0.000000,1,60.000000
82,28.4555,82.0000,-90.1866,2.9189,1.000000,0.000000,1,60.000000
83,28.7976,83.0000,-90.1866,2.9225,1.000000,0.000000,1,60.000000
84,29.1394,84.0000,-90.1866,2.9263,1.000000,0.000000,1,60.000000
85,29.4806,85.0000,-90.1866,2.9301,1.000000,0.000000,1,60.000000
86,29.8215,86.0000,-90.1866,2.9342,1.000000,0.000000,1,60.000000
87,30.1618,87.0000,-90.1866,2.9383,1.000000,0.000000,1,60.000000
88,30.5016,88.0000,-90.1866,2.9425,1.000000,0.000000,1,60.000000
89,30.8410,89.0000,-90.1866,2.9469,1.000000,0.000000,1,60.000000
90,31.1798,90.0000,-90.1866,2.9513,1.000000,0.000000,1,60.000000
91,31.5181,91.0000,-90.1866,2.9558,1.000000,0.000000,1,60.000000
92,31.8559,92.0000,-90.1866,2.9604,1.000000,0.000000,1,60.000000
93,32.1932,93.0000,-90.1866,2.9651,1.000000,0.000000,1,60.000000
94,32.5299,94.0000,-90.1866,2.9699,1.000000,0.000000,1,60.000000
95,32.8661,95.0000,-90.1866,2.9747,1.000000,0.000000,1,60.000000
96,33.2017,96.0000,-90.1866,2.9795,1.000000,0.000000,1,60.000000
97,33.5368,97.0000,-90.1866,2.9844,1.000000,0.000000,1,60.000000
98,33.8713,98.0000,-90.1866,2.9893,1.000000,0.000000,1,60.000000
99,34.2053,99.0000,-90.1866,2.9942,1.000000,0.000000,1,60.000000
100,34.5387,100.0000,-90.1866,2.9992,1.000000,0.000000,1,60.000000
101,34.8716,101.0000,-90.1866,3.0041,1.000000,0.000000,1,100.000000
102,35.2039,102.0000,-90.1866,3.0091,1.000000,0.000000,1,100.000000
103,35.5357,103.0000,-90.1866,3.0140,1.000000,0.000000,1,100.000000
104,35.8669,104.0000,-90.1866,3.0189,1.000000,0.000000,1,100.000000
105,36.1976,105.0000,-90.1866,3.0238,1.000000,0.000000,1,100.000000
106,36.5278,106.0000,-90.1866,3.0286,1.000000,0.000000,1,100.000000
107,36.8575,107.0000,-90.1866,3.0333,1.000000,0.000000,1,100.000000
108,37.1866,108.0000,-90.1866,3.0380,1.000000,0.000000,1,100.000000
109,37.5153,109.0000,-90.1866,3.0427,1.000000,0.000000,1,100.000000
110,37.8435,110.0000,-90.1866,3.0472,1.000000,0.000000,1,100.000000
111,38.1712,111.0000,-90.1866,3.0517,1.000000,0.000000,1,100.000000
112,38.4984,112.0000,-90.1866,3.0561,1.000000,0.000000,1,100.000000
113,38.8251,113.0000,-90.1866,3.0603,1.000000,0.000000,1,100.000000
114,39.1514,114.0000,-90.1866,3.0645,1.000000,0.000000,1,100.000000
115,39.4773,115.0000,-90.1866,3.0686,1.000000,0.000000,1,100.000000
116,39.8028,116.0000,-90.1866,3.0725,1.000000,0.000000,1,100.000000
117,40.1279,117.0000,-90.1866,3.0763,1.000000,0.000000,1,100.000000
118,40.4526,118.0000,-90.1866,3.0799,1.000000,0.000000,1,100.000000
119,40.7769,119.0000,-90.1866,3.0835,1.000000,0.000000,1,100.000000
120,41.1008,120.0000,-90.1866,3.0868,1.000000,0.000000,1,100.000000
121,41.4244,121.0000,-90.1866,3.0901,1.000000,0.000000,1,100.000000
122,41.7477,122.0000,-90.1866,3.0932,1.000000,0.000000,1,100.000000
123,42.0707,123.0000,-90.1866,3.0961,1.000000,0.000000,1,100.000000
124,42.3934,124.0000,-90.1866,3.0988,1.000000,0.000000,1,100.000000
125,42.7158,125.0000,-90.1866,3.1014,1.000000,0.000000,1,100.000000
126,43.0380,126.0000,-90.1866,3.1039,1.000000,0.000000,1,100.000000
127,43.3600,127.0000,-90.1866,3.1061,1.000000,0.000000,1,100.000000
128,43.6817,128.0000,-90.1866,3.1082,1.000000,0.000000,1,100.000000
129,44.0032,129.0000,-90.1866,3.1102,1.000000,0.000000,1,100.000000
130,44.3246,130.0000,-90.1866,3.1119,1.000000,0.000000,1,100.000000
131,44.6458,131.0000,-90.1866,3.1135,1.000000,0.000000,1,100.000000
132,44.9668,132.0000,-90.1866,3.1149,1.000000,0.000000,1,100.000000
133,45.2877,133.0000,-90.1866,3.1162,1.000000,0.000000,1,100.000000
134,45.6085,134.0000,-90.1866,3.1172,1.000000,0.000000,1,100.000000
135,45.9292,135.0000,-90.1866,3.1182,1.000000,0.000000,1,100.000000
136,46.2498,136.0000,-90.1866,3.1189,1.000000,0.000000,1,100.000000
